Id,Nombre,Apellido,Municipio,Departamento,Fuente,Enlace,Nombre enlace,Periodo
0,Nayib Armando ,Bukele Ortez,San Salvador,San Salvador,Sitio Web Corporación de Municipalidades de la República de El Salvador: ,http://www.comures.org.sv/html/agremiados/listado_2018.html,Municipalidades Agremiadas 2015 - 2018,Periodo 2015-2018
1,José Tomás, Minero Domínguez,Ciudad Delgado,San Salvador,Sitio Web Corporación de Municipalidades de la República de El Salvador: ,http://www.comures.org.sv/html/agremiados/listado_2018.html,Municipalidades Agremiadas 2015 - 2018,Periodo 2015-2018
2,José ,Simón Paz,Mejicanos,San Salvador,Sitio Web Corporación de Municipalidades de la República de El Salvador: ,http://www.comures.org.sv/html/agremiados/listado_2018.html,Municipalidades Agremiadas 2015 - 2018,Periodo 2015-2018
3,José Miguel ,Arévalo Rivera,Soyapango,San Salvador,Sitio Web Corporación de Municipalidades de la República de El Salvador: ,http://www.comures.org.sv/html/agremiados/listado_2018.html,Municipalidades Agremiadas 2015 - 2018,Periodo 2015-2018
4,Jaime Alberto, Recinos Crespín,Cuscatancingo,San Salvador,Sitio Web Corporación de Municipalidades de la República de El Salvador: ,http://www.comures.org.sv/html/agremiados/listado_2018.html,Municipalidades Agremiadas 2015 - 2018,Periodo 2015-2018
5,Fidel Ernesto ,Fuentes Calderón,San Marcos,San Salvador,Sitio Web Corporación de Municipalidades de la República de El Salvador: ,http://www.comures.org.sv/html/agremiados/listado_2018.html,Municipalidades Agremiadas 2015 - 2018,Periodo 2015-2018
6,Salvador Alfredo, Ruano Recínos,Ilopango,San Salvador,Sitio Web Corporación de Municipalidades de la República de El Salvador: ,http://www.comures.org.sv/html/agremiados/listado_2018.html,Municipalidades Agremiadas 2015 - 2018,Periodo 2015-2018
7,Sergio Vladimir ,Quijada Cortez,Nejapa,San Salvador,Sitio Web Corporación de Municipalidades de la República de El Salvador: ,http://www.comures.org.sv/html/agremiados/listado_2018.html,Municipalidades Agremiadas 2015 - 2018,Periodo 2015-2018
8,José  Santiago ,Zelaya,Apopa,San Salvador,Sitio Web Corporación de Municipalidades de la República de El Salvador: ,http://www.comures.org.sv/html/agremiados/listado_2018.html,Municipalidades Agremiadas 2015 - 2018,Periodo 2015-2018
9,Víctor  Manuel ,Rivera Reyes,San Martín,San Salvador,Sitio Web Corporación de Municipalidades de la República de El Salvador: ,http://www.comures.org.sv/html/agremiados/listado_2018.html,Municipalidades Agremiadas 2015 - 2018,Periodo 2015-2018
10,Mario ,Melendez Portillo,Panchimalco,San Salvador,Sitio Web Corporación de Municipalidades de la República de El Salvador: ,http://www.comures.org.sv/html/agremiados/listado_2018.html,Municipalidades Agremiadas 2015 - 2018,Periodo 2015-2018
